baapiiw'aan	brush dust or
_bboon'gat	be a certain
_bboon'gizi	be a certain
dso-dba'gne	be a certain
-nam'e-giizhik	a certain number
shiaabta 	half past the
shiaabta 	and a half
?aabnaabndamwaa	look back at
aadsin	be marooned be
aadskaso	be stranded out
aagkwepnaa	tie smb around
?aagneyendam	be a doubter
aakshkadekaaza	pretend to have
aakwaadat	be dangerous be
aan'kenmawaa	pass something to
aandkwenaa	move smbs head
aanzmaa	make a suggestion
baazgobdoon	scratch sth with
??bgidaabiignaan	loosen rope on
??biindgajgaaza	be brought into
?maazhma	check
a-	where  2
aa	well lets come
aab'aan	untie sth 
aab'amwaa	undo something for
aabaabka'aan	unlock sth
aabaabka'gan	key
aabaabka'mawaa	unlock something for
aabaabkawaa	unlock sth an
aabbidmawaa	unravel something for
aabbidoon	unravel sth
aabbinaa	unravel sth an
aabda	continuously
aabdaako-pabwin	bench
aabdaan'gidoon	talk continually talk
aabdaangzhe	have a steady
aabdagin	grow continually of
aabdat	be used be
aabdek	certainly for sure
aabdewebde	make a constant
aabdewebza	make a constant
aabdewebzo	make a constant
aabdewesin	ring constantly ring
aabdizi	be used be
aabdwewe	be on constantly
aabdwewe	be on constantly
aabdwewebde	make a constant
aabdwewebza	make a constant
aabdweweshin	ring constantly ring
aabdwewesin	ring constantly ring
aabiignaa	unroll sth an
aabiignaan	unroll sth unwrap
aabiignamwaa	unroll something for
aabiinj'aa	beat smb severely
aabiinzdaan	disparage sth denigrate
aabiinzge	disparage people
aabiinzjige	defame others denigrate
aabiinzmaa	disparage smb thrash
aabiish	where which interrogative
aabji'aa	use sth an
aabji-	constantly continually keep
aabjibde	move constantly run
aabjibtoo	run constantly be
aabjibza	move constantly be
aabjichgan	tool utensil
aabjiibaa	come back to
aabjiibaawin	resurrection
aabjinnidwak	fight each other
aabjinza	get into fights
aabjitaa	continue keep doing
aabjitmawaa	use something belonging
aabjitoon	use sth
aabjitwaa	 use something
aabnaa	undo sth an
aabnaabi	look back look
aabnaabmaa	look back at
aabnaabndaan	look back at
aabnaabndamaaza	look back as
aabnaan	undo sth untie
aabnamwaa	undo something for
aaboodaashi	flip over in
aaboodaasin	flip over in
aaboodsak	ceiling
aaboodse	flip over
aaboojbagaasin	flip up in
aaboojbiza	fly upside down
aaboojdakiigwaashkni	do a back
aaboojdewese	have ones heart
aaboojgwaashkni	do a back
aaboojiignaan	turns sth inside
aaboojiigshkaan	wear sth inside
aaboojiigshkawaa	wear sth an
aabooskaan	wear sth inside
aabooskawaa	wear sth an
aabshkaan	bump sth and
aabshkawaa	bump sth an
aabskobdoon	untie sth
aabskobnaa	untie sth an
aabta	half
aabta-	half 
aabta-bboon	be New Years
aabta-niibin	be Fourth of
aabtaa-dbikat	be midnight
aabtawaabik	halfdollar  2
aabtawdaakyaa	be halfway up
Aabtawewan	be Thursday
aabtaweyiing	halfway
aabtawna	around the middle
aabtawyi'iing	halfway
Aabtawyi'iiwan	be Wednesday
aabtoobdoon	fill sth half
aabtoobii	be half full
aabtoobii	be half full
aabtoobnaa	fill sth an
aabtoogaam	middle of the
aabtoogza	be middle of
aabtoojiinaa	embrace smb hug
aabtoojiindiwak	embrace each other
aabtooshkin	half a bagful
aabtooshkin	half a bagful
aabtooshkna'aa	fill sth an
aabtooshknadoon	fill sth half
aabtooshkne	be half full
aabtooshkne	be half full
aabtoowaabkizaawe	be halfdrunk be
aabtoowaabkizi	be half moon
aabtoowaadzi	be a halfwit
aabtoozi	be a halfbreed
aabtooziinh	halfbreed
aabtawaatik	half a bottle
aabwaa	warm up 
aab'waa	untie sth an
aabwaakdin 	thaw out
aabwaakji	thaw out
aabwaakjidoon	thaw sth out
aabwaakjimaa	thaw sth an
aabwaate	be mild and
aabziichgan	medicine made of
aabziingshi	be unable to
aabziingweyaashi	be refreshed from
aabziishin	recover from an
aabziiwaabminaagot	look as if
aabziiwnaagot	look as if
aabziiwnaagzi	look as if
aabziiwshin 	recover from an
aabziiwzi	recover from an
aabziiyaan'kot	clear up improve
aabziiyaan'kwat	clear up improve
aabziiyendam	be heartened feel
aachdegaade	be partitioned of
aad'oomoonh	canoe paddler
aadaagmishin	be stranded by
aadaagneshin	be snowbound
aadaakshin	be locked in
aadaakw'aan	lock sth
aadaakwaa	lock smb lock
aadaanoonh	corn dumpling
aadaanoonh	corn dumpling
aadoo'maa	catch a ride
aadoowii	catch a ride
aadshibiishin	be blocked by
aadshin	be marooned be
aadsookaan	legend myth sacred
aadsookaan	legend myth sacred
aadsooke	tell a legend
aadwa'maa	catch a ride
aadwa'wii	catch a ride
aagam	snowshoe
aagde	retch throw up
aagdinaa	push sth an
aagdinaan	push sth away
aagkwenaa	have ones arm
aagkwendiwak	hug each other
aagmase	walk in snowshoes
aagnetaan	disagree with sth
aagnetam	disagree deny
aagnetwaa	disagree with smb
aagoo'aan	close sth off
aagoo'on	cover up ones
aagoowaa	close sth an
aagwaabiigbidoon	pull sth closed
aagwaabiigbijge	pull something sheetlike
aagwaabiigbinaa	pull sth an
aagwaadzi	be absentminded 
aagwaajbiza	show off while
aagwiita	again additionally extra
aagwiitoodaase	wear an extra
aagwiitooknowe	wear a second
aagwiitooshkaan	wear sth as
aagwiitoowaajma	repeat a story
aagwiitoowaan'gidoon	repeat oneself
aagwiitoowaatesdoon	show sth as
aagwiitoowaatesjige	show reruns show
aajbi'we	be cornered somewhere
aajboowe	be cornered somewhere
aajkin'gan	room partition enclosure
aajkin'ge	make a room
aajkonaa	stop smb from
aajnaashkowaa	chase smb into
aakaa	of all the
aakde'e	be brave be
aakjinnjiinaa	unclench smbs fingers
aakmendaan	be mindful of
aakmendam	be mindful of
aakmenmaa	be mindful of
aakmizi	be alert
aakoozde	have feet of
aakpogot	taste fierce
aakpogzi	taste fierce
aakshkade	get a stomach
aakshkadeshkaagon	be given a
aakshkadewansh	chamomile
aakwaadaan'gidoon	talk tough
aakwaadendaagot	seem dangerous seem
aakwaadendaagzi	seem dangerous seem
aakwaadzi	be dangerous be
aakwaaji-zhiyaa	be illtempered be
aakwaakde	be dry and
aakwaakza	be dry and
aakwi-	frequently regularly
aakzi	be sick get
aakziigamik	hospital
aakziikaaza	pretend to be
aakziishkaagon	be made sick
aakziiwaadzi	be in poor
aakziiwgamik	hospital
aakziiwkawaa	make smb sick
aakziiwnaagzi	appear to be
aakzin	get pain in
aakziwin	disease illness sickness
aambe	lets leave now
Aamjiwnaang	Sarnia Ont
aamoo	bee
aamoo-ziiwaagmide	honey
aamoo-ziizbaakot	honey
aamoonh	bee
aamwaa	drive smb away
aan'kaach	alongside next to
aan'ke-	in succession in
aan'kege	add on to
aan'kese	be passed on
aan'ketoon	add on to
aan'keyaajma	add on to
aan'kinoosdoon	translate sth
aan'kinootmaage	interpret translate
aan'kobjigan	connection chain link
aan'konaanh	cracker soda biscuit
aan'konaans	cracker
aan'koobde	be tied to
aan'koobdoon	tie sth to
{nd}aan'koobjigan	my great grandchild
aan'koobjigan	connection chain link
aan'koobnaa	tie sth an
aan'koobza	be tied to
aan'koopde	be tied to
aan'koopdoon	tie sth to
aan'koopnaa	tie sth an
aan'koopza	be tied to
aan'koosdoon	join sth to
aan'koosenh	sleigh wagon on
aan'kooshin	be joined to
aan'kooshmaa	join sth an
aan'koosin	be joined to
aan'kot	cloud
aana	fortunately thankfully CL
aana-	in vain to
aanak	brown thrasher a
aanch	again
aand'amii	take a step
aandaabdesdoon	shift gears of
aandaabdeshmaa	shift gears of
aandaabdesjigan	gearshift
aandaabdesjige	shift gears
aandaabka'gan	key
aandaaddaan	change ones story
aandaajma	change ones story
aandaajmaa	change ones story
aandaajndaan	change ones story
aandaakmachge	rearrange things of
aandaakmatoon	rearrange sth of
aandaaknige	change ones plans
aandaanzhese	change to a
aandaashi	sail to another
aandbi	change ones seat
aandegshkwenh	common crow
aandek	common crow
aandendam	change ones mind
aandgoodoon	hang sth elsewhere
aandgoonaa	hang sth an
aandi	where interrogative used
aandi-sh	where interrogative used
aandkii	move to a
aandkii'aan	transplant sth of
aandkii'ge	transplant do transplanting
aandkiiwaa	transplant sth an
aandkweshmaa	put smbs head
aandpinaa	change smbs a
aandse	change be modified
aandshimaa	move sth an
aandshin	go and lie
aandsidoon	move sth elsewhere
aandsijge	rearrange things usually
aangwaadzi	be sane be
aangwaamnaa	hold onto sth
aangwaamnaan	hold onto sth
aangwaamzi	be careful be
aangwaazmaa	coax smb reassure
aangwizi	be tame
aangzhe	find a job
aangzhechge	employ people hire
aanii	how in what
aanii	Hi Hello
aanii	well
aaniigo naa iidik 	As if
aaniipii 	where interrogative used
aaniipii 	when interrogative
aaniipiish 	where interrogative used
aaniin	of course naturally
aaniin	of course naturally
aaniinde	of course naturally
aaniish	how
aaniish	why
aaniish	How are things
aaniish	Hey What are
aaniishpii 	when
aaniishpiich 	how are things
aanind	some a few
aanj'aa	change sth an
aanjbide	change direction driving
aanjbiza	change direction driving
aanjdaabaadaan	drag sth to
aanjdaabaanaa	drag sth an
aanjdaabii	drag things to
aanjgimaake	have an election
aanji-	over again
aanji-giisiwe	have ones period
aanjig	again
aanjii	change location move
aanjiiwe	change ones mind
aanjiiwenywi	renew ones effort
aanjnaama	take another breath
aanjpinaa	change smbs a
aanjpiza	change a bandage
aanjshimaa	change smbs mind
aanjshin	go and lie
aanjsidoon	move sth elsewhere
aanjsijge	rearrange things usually
aanjtoon	change sth replace
aanjtwaa	change religion convert
aanjwidoon	carry sth elsewhere
aanjwinaa	carry sth an
Aanmaa	German
aanmaatese	be a highly
aanmat	be a dire
aanmendaan	be exasperated with
aanmendam	be exasperated be
aanmenjge	be beleaguered be
aanmenmaa 	be exasperated with
aanmi'aa	beleaguer smb greatly
aanmimaa	berate smb disparage
aanmiweb'ogo	be tossed about
aanmiweb'ogot	be tossed about
aanmizi	be beleaguered suffer
aanmwewdam	make a loud
aano	to be sure
aano-	even though despite
aanoodwewemaa	exasperate smb with
aanoodzi	be greedy
aanooji-	dreadfully
aanoozmaa	coax smb persuade
aansaabwaadaan	dilute sth a
aanshge	go ahead and
aanshiitam	give up quit
aanshimaa	change smbs mind
aansisin	go stale lose
aanwaabmaa	dislike the look
aanwaabndaan	dislike the look
aanwendaagot	be distasteful be
aanwendaagzi	be distasteful be
aanwendaan	be dissatisfied with
aanwendiza	repent seek forgiveness
aanwenmaa	be dissatisfied with
aanwewzi	fail be unsuccessful
aanwi	fortunately thankfully 
aanwi'aa	be unable to
aanwitmaa	lose all strength
aanwitoo	lose all strength
aanwitoon	fail to budge
aanzendam	change ones mind
aanzhenii	angel
aanzkaan	change sth 
aanzkawaa	change sth an
aanzkonye	change clothes
aanzkonye'aa	change smbs clothes
aanzweshe	have poor hearing
aanzweshkwaa	miss smb by
aanzwetwaa	not hear smb
aanzyaan	diaper comm 
aanzyaanpinaa	put a diaper
aanzyepnaa	put a diaper
aapda'aagan	drudge errand boy
aapdaande	be stained permanently
aapdaanza	be stained permanently
aapdaap'aa	die laughing at
aapdaapi	die laughing
aapdaabka'oodoon	knot sth up
aapdaaptoon	die laughing at
aapdaasa	have sunstroke die
aapdagoode	fall out of
aapdagoojin	fall out of
aapdaji	freeze to death
aapdakiise	fall in and
aapdanaandam	starve
aapdendi	go away for
aapdenmaa	have a grudge
aapdingwaam	die in ones
aapdizna’ge	default on a
aapdiznamawaa	default on smbs
aapdwewe	make noise without
aapdwewe	make noise without
aapii	where  interrogative
aapiichin	on occasion from
aapiish	where interrogative used
aapin	like the same
aapji	very
aapji-	very  2
aapji-ntam	the very first
aapji-shkwaach	the very last
aapjibde	fly away irretrievably
aapjibtoo	run off somewhere
aapjibza	fly away irretrievably
aapjigaadebi	have ones leg
aapjigweweshkaa	have ones neck
aapjine	suffer ones last
aapjishin	fall to ones
aapjiwdoon	take sth away
aapjiwnaa	take sth an
aapwewin	bad dream nightmare
aapzikoonaa	kill smb with
aapzikooza	be killed by
aapzikwaa	kill smb by
aasaabde	be blindingly bright
aasaabza	be blinded by
aasaabzwaa	blind smb with
aasdibepza	wear a bandage
aasekmik	lichen moss
aash'aa	give ones illness
aashdikmaanaa	pass lice on
aashdoonemaa	pass ones way
aashiij-maajii	Oh dear Oh
aasht'oon'gii	move from one
aashta-booztoon	transfer sth from
aashta-boozi	transfer from one
aashtaw'aa	take revenge on
aashtawgwaashkni	jump from one
aashtawse	be passed on
aashtema	be a crossroad
aashtewmaa	argue with smb
aashtooshknadoon	transfer sth to
aashtooshknanaa	transfer sth an
aashtooziignaan	pour sth into
aashtowebnaa	throw sth an
aashtowebnaan	throw sth onto
aashwii-zhmaajii	Oh dear Oh
aasmaatik	on the wall
aasmaatik	wall
aasmagmik	against the wall
aasmagmik	outside wall
aasmidaaki	on the hillside
aasnaa	hey indicating affirmation
aasnaa	hold smb upright
aasnaan	hold sth upright
aasndibepnaa	bandage smbs head
aasnikepnaa	bandage smbs arm
aasnikepza	wear a bandage
aasninjiipnaa	bandage smbs hand
aasninjiipza	wear a bandage
aasookaan	legend myth sacred
aasookaan	legend myth sacred
aasooke	tell a legend
aaspide	be bandaged
aaspidoon	bandage sth put
aaspinaa	bandage smb put
aaspiza	be bandaged
aasshin	lean against something
aassin	lean against something
aaswaakdabi	sit leaning against
aaswaakgaabwi	stand leaning against
aaswaaknamaakwii	hold onto something
aaswaakshimaa	lean sth an
aaswaakshin	lean against something
aaswaaksidoon	lean sth against
aaswaaksin	lean against something
aate	be out go
aate'aan	extinguish sth put
aate'ge	extinguish a fire
aatebdoon	turn sth off
aatebjige	turn off a
aatebnaa	turn sth an
aateboodaadaan	blow sth out
aateboodaanaa	blow sth an
aatechge	turn off a
aategdaaza	cool off from
aatemogot	stop smelling dissipate
aatemogzi	stop smelling dissipate
aatese	go out stop
aatese	go out 
aateshin	sober up
aateshkaan	put sth out
aateshkwaa	put sth an
aatesjige	turn off a
aatetoon	extinguish sth put
aatewaa	extinguish sth an
aateyaabaawdoon	extinguish sth with
aateyaabaawnaa	extinguish sth an
aateyaande	fade in colour
aateyaanza	fade in colour
aateyaanzaawe	have ones bruises
aatwaajiise	fall landing face
aatwaajiishin	lie with ones
aatwaajiisin	lie right side
aatwaajiiyebnaa	throw smb over
aatwaajiiyebnaan	throw sth over
aatwaanaa	turn sth an
aatwaanaan	turn sth right
aatwaasdoon	place sth right
aatwaashin	lie face up
aatwaashmaa	place sth an
aatwaasin	lie face up
aatwaayiingweshin	lie with ones
aatwe	have fire go
aawan	be a certain
aawdamwaa	haul something for
aawdawaa	haul something for
aawdoon	haul sth
aawendaagot	be believed to
aawendaagzi	be believed to
aawendaan	construe sth to
aawendmitwaa	construe smbs remarks
aawenmaa	construe smb as
aawi	be a certain
aawjidaabaadaan	haul sth by
aawjidaabaadmawaa	haul something for
aawjidaabaanaa	haul sth an
aawjidaabii	haul things
aawjidaabiichge	haul things with
aawnaa	haul sth an
aawnsa	lets do something
aawsaabi	be crosseyed
aawsaabi	hallucinate
aawshkwe	haul hay
aawshkwetmawaa	haul hay for
aawzabii	haul water
aayaabtawzi	be a halfbreed
aayaan'koobde 	be tied to
aayaan'koobza 	be tied to
aayaazhkwe	scream in fright
aayaazhwe	scream in fright
aazhbik	mountain cliff rock
aazhda-	from one to
aazhda-boozi	transfer from one
aazhdaadiwin	mutual revenge
aazhdaw'aa	take revenge on
aazhdawwin	revenge
aazhde	cross
aazhdebde	fly across a
aazhdebza	fly across a
aazhdema	run across of
aazhdemaa	argue with smb
aazhdeshkaan	come up beside
aazhdeshkwaa	come up beside
aazhdewmaa	argue with smb
aazhdeyaakbii'gan	mark an X
aazhdeyaatik	cross crucifix
aazhdwewdam	argue talk back
aazhgan	bridge dock breakwater
aazhge	cross go across
aazhgema	run across of
aazhgidaabiigse	fall flat on
aazhgidaakdabi	sit leaning back
aazhgidgoojin	fall over backwards
aazhgidkweni	lean ones head
aazhgidkweshin	lie with ones
aazhgidnaa	turn sth an
aazhgidnaan	turn sth face
aazhgidse	flip over onto
aazhgidse	flip over onto
aazhgidshimaa	place sth an
aazhgidshin	lie face up
aazhgidsidoon	place sth face
aazhgidsin	lie face up
aazhgijbide	flip over backwards
aazhgijbidoon	turn sth face
aazhgijbinaa	turn sth an
aazhgijbiza	flip over backwards
aazhgijiingweshin	lie with ones
aazhgijwebshkaan	flip sth face
aazhgijwebshkawaa	flip sth face
aazhgise	flip over backwards
aazhgiskaan	flip sth face
aazhgiskawaa	flip sth an
aazhgo	already now
aazhi	already now 
aazhiiwzi	have an omen
aazhoo-	next period of
aazhoobza	stagger
aazhoogaam	across a body
aazhoogaami	across a body
aazhoogmik	behind the house
aazhoogwaashkni	jump from side
aazhook	back and forth
aazhoon'kogan	suspender
aazhoowaak'ige	have ones clothes
aazhoowaakwige	have ones clothes
aazhwaakwaa	the other side
aazhwi'ii	the other side
aazhwi'iing	the other side
aazhwisak	the other room
aazmagmaabzowin	suspender
aazndibebza	carry a load
aazndibebzowin	headband
aazndibepza	carry a load
abooy	sleep dried mucus
abwi	propeller
abwi	paddle
abwiins	fan implement used
ambegish	hope that may
amik	beaver
Anam'ewaatgwenh	Cross Village Michigan
Anishinaabe	North American Aboriginal
Anishnaabekwe	North American Aboriginal
Anishnaabemwin	Indian language
aw	this this one
baabaapnadaan	make fun of
baabaapnadwaa	make fun of
baabaasdeke	sun oneself
baabge	quickly right away
baabgognaamaa	knock sth an
baabgognaandaan	knock sth off
baabgose	become detached fall
baabgose	become detached fall
baabgwaad'aan	scrape sth off
baabgwaadam	without an apparent
baabgwaadam	be least of
baabgwaadwaa	scrape sth an
baabgwaak'aan	peel sth
baabgwaakwaa	peel sth an
baabgwaakwaan	peel sth
baabgwaashi	be blown off
baabgwaasin	be blown off
baabgwegaashi	get ripped off
baabgwegaasin	get ripped off
baabgwegbidoon	pull sth off
baabgwegbinaa	pull sth an
baabii	wait
baabii'aa	wait for smb
baabii'o	wait
baabii'we	wait for people
baabiichge	wait
baabiidnagaakzidebi	sit with soles
baabiidnagaakzideshin	lie with soles
baabiidsachge	force up things
baabiimskogaa	dance in circles
baabiitookdaan	slice sth up
baabiitooknaa	slice sth an
baabiitoon	wait for sth
baabiiyepo	be light snow
baabiiyewaaboode	be specks of
baabooskninjii	have dimples on
baabsaabiignaan	tighten sth of
baabsaabiisin	be taut of
baabsaakw'aan	screw sth tightly
baabsaakwaa	screw sth an
baabsibdoon	pull sth tight
baabsibnaa	pull sth an
baabsiboodaadaan	inflate sth
baabsiboodaanaa	inflate sth an
baabsiigbidoon	stretch sth out
baabsiigbinaa	stretch sth an
baabsikaan	find sth a
baabsikwaa	find sth an
baabsishin	fit tightly into
baabsisin	fit tightly into
baachgamde	boil over
baachgamza	boil over
baachgamzekwe	have something boil
baag'aakwaanh	chicken hen
baag'aakwenh	chicken hen
baagaakogaans	basket splint the
baagaakogan	basket splint the
baagaakoge	see baagaakwige
baagaakshimaa	bang sth an
baagaaksidoon	bang sth against
baagaak'igan	basket splint the
baagaakw'ige	pound wood to
baagaakwenh	chicken hen
baagaakwigan	see baagaakwigan
baagaakwige	see baagaakwige
baagdoone	have a swollen
baagdooskne	have a swollen
baaggidgwe	have a swollen
baagmide	warm be warmed
baagmizaan	warm sth up
baagnaa	strike smb of
baagnaan	strike sth of
baagnagskwe	have a swollen
baagndibe'gan	war club
baagndibegnaamaa	hit smb on
baagndibeshin	hit ones head
baagndibewaa	hit smb on
baagnige	strike flash a
baagniishkwe	have swollen tonsils
baagnike	have a swollen
baagninjii	have a swollen
baagshi	have a swelling
baagsin	be swollen
baagsin	run aground
baagwaa	be shallows
baakaabiigbidoon	pull sth open
baakaabiignaan	open drapes or
baakaabiignige	open drapes or
baakaaknaa	open sth an
baakaaknaan	open sth of
baakaaknige	open up canned
baakaakzaan	cut sth open
baakaakzwaa	cut sth an
baakaan'kot	open up part
baakbidoon	pull sth open
baakbinaa	pull sth an
baakdaaknige	make irreversible plans
baakdakmigzi	start an activity
baakdendam	have ones mind
baakdoonegoojin	have ones mouth
baakdoonengwaam	sleep openmouthed
baakdoonetaa	open ones mouth
baakganaamaa	open sth an
baakganaandaan	open sth by
baakiignaan	turn sth down
baakiignaan	open sth turn
baakiigsidoon	lay sth down
baakiigsin	lie with its
baakji-	irreversible irreversibly
baakjibza	drive off with
baakjiibdoon	open sth tear
baakjiibjige	open parcels open
baakjiibnaa	open sth an
baakkamgise	be shaken open
baakkodaan	cut sth open
baakkonaa	cut sth an
baakmaa	open sth an
baaknaa	open sth an
baaknaan	open sth up
baaknamwaa	open something for
baakndaan	open sth with
baakshimaa	knock sth an
baaksidoon	knock sth open
baakwaanaatik	staghorn sumac a
baakwaanmish	staghorn sumac a
Baakwan	be Easter
Baakwang	Easter Eastertime
baamaa	not until 
baampii	later
baan'shaawaan	piece of meat
baap'aa	laugh at smb
baapaagaakbii	be full to
baapaagaakbii	be full to
baapaagaakshkin'aa	fill sth an
baapaagaakshkindoon	fill sth to
baapaagaakshkine	be full to
baapaagaakshkine	be full to
baapaagdinmaangnewaa	slap smb on
baapaagi-shka'ii	brand spanking new
baapaagi-shki'aa	brand spanking new
baapaagi-shki-	brand spanking new
baapaagi-shki-daabaan	brand spanking new
baapaagjiishkaa	be flatulent have
baapaagjiishkaagon	be given gas
baapaas-ledii	ritzy lady
baapaas-ya'aawish	high falutin dude
baapaasaandip	director executive head
baapaasdiiye-boogshkaa	be crackedass broke
baapaase	woodpecker
baapaashkde	crackle of wood
baapaashki	balsam sap
baapaashkwaatik	balsam a kind
baapgone	have a good
baapi	laugh
baapiitoobjige	pull wood into
baapiitoozhaan	cut sth into
baapiitoozhwaa	cut sth an
baapiiwegnaa	shake dust or
baapiiwegnaan	shake dust or
baapiiwganaamaa	beat dust or
baapiiwganaandaan	beat dust or
baapiiwkizneshin	wipe ones shoes
baapiiwnaa	brush dust or
baapiiwnaan	brush dust or
baapiiwnawaa	clean smb out
baapiiwnige	be drained out
baapiiwsa'aa	shake sth an
baapiiwsatoon	shake sth loose
baapiiwshimaa	shake dust or
baapiiwsidoon	shake dust or
baapiiw'waa	brush dust or
baapiiwwebnaa	shake dust or
baapiiwwebnaan	shake dust or
baapiiwyegsatoon	shake dust or
baapish	any moment now
baapnaasdoon	spend sth carelessly
baapnadaan	waste sth
baapnadwaa	waste sth an
baapnakmigat	be lively be
baapnakzaawe	be boisterous make
baapnenmo	take things lightly
baapnizwaagan	Oh boy Oh
baapnwewdam	call out boisterously
baapnwewe	sound lively sound
baaptamwaa	laugh at something
baaptoon	laugh at sth
baapzhigiizhwe	kid people tell
baapzhimaa	kid smb pull
baapzhinaagzi	look comical
baapzhitaagzi	kid around joke
baas'aan	crack sth with
baasa	be dry comm
baasaabiishkaa	have a hairline
baasaak	change coins less
baasaakzaan	crack sth using
baasaakzwaa	crack sth an
baasaan	dry sth by
baasaawngaak	flour
baasde	crack from heat
baasdeke	bask in the
baasganaamaa	crack sth an
baasganaandaan	crack sth by
baashda'ge	jump over another
baashdaagwaan	plantain lowgrowing plant
baashdagnaandaan	hit sth over
baashdakaadaan	pass sth go
baashdakaanaa	overtake smb pass
baashdawaa	go over smbs
baashdebii	overflow
baashdebii	overflow of a
baashji-	over to an
baashji-piitzi	be overage
baashjibde	drive past overshoot
baashjibza	drive past ones
baashjigmide	boil over
baashjigmiza	boil over
baashjigwaashkni	jump over sth
baashk'aan	break sth open
baashk'amaaza	burst into song
baashkaabgonii	bloom
baashkaawe	hatch
baashkbiisaa	burst into rain
baashkdagoode	fall over a
baashkdagoojin	fall over a
baashkdamoonh	parrot
baashkdebdoon	fill sth to
baashkdebii	overflow of a
baashkdebnaa	fill sth an
baashkdiyaamaa	defecate on sth
baashkdiyaandaan	defecate on sth
baashkgondaagan	burst into a
baashkjiibdoon	break sth open
baashkjiibnaa	break sth an
baashkjiide	burst from heat
baashkjiignaamaa	burst sth an
baashkjiignaandaan	burst sth by
baashkjiisdoon	burst sth by
baashkjiishin	break open in
baashkjiishkaa	break open burst
baashkjiishkaa	break open burst
baashkjiishmaa	burst sth an
baashkjiisin	break open in
baashkjiiwaa	burst sth an
baashkjii'aan	burst sth with
baashkjiiza	burst from heat
baashkko'om	crack of thunder
baashkmaa	break sth an
baashkmin'sigan	jam preserves fruit
baashkndaan	break sth open
baashknjibgwaan	trillium a kind
baashktaawngaa	be lots of
baashkwaa	break sth an
baashkwewdam	burst into a
baashkwewe	burst into sound
baashkwewechge	burst into instrumental
baashkzaan	shoot sth shoot
baashkzaan	crack sth by
baashkzigan	penis
baashkzigan	gun
baashkzigewin	semen
baashkzodza	shoot oneself
baashkzwaa	shoot smb shoot
baashkzwaa	crack sth an
baashzaabmaa	overlook smb overlook
baashzaabndaan	overlook sth 
baasiig'aan	dry sth with
baasiigwaa	dry sth an
baasiingwe	have a puffy
baaskaa	crack
baaskaa	crack
baaskaan	crack sth with
baaskawaa	crack sth an
baaskoode	be cracked by
baaskoodoon	crack sth by
baaskoonaa	crack sth an
baaskooza	be cracked by
baasmaa	crack sth an
baasnaasa	dry ones clothes
baasndaan	crack sth with
baasndibeshin	fracture ones skull
baasnikeshin	fracture ones arm
baasninjii	have ones hands
baasnoogneshin	fracture ones hip
baasshimaa	crack sth an
baasshkoodaan	cause sth to
baasshkoonaa	cause sth an
baassidoon	crack sth by
baaswaa	dry sth an
baaswaa	crack sth an
baaszaan	heat sth and
baaszide	have puffy swollen
baaszwaa	heat sth an
baataa-doodam	sin commit sin
baataa-doodwin	sin
baataadyeshin	get ones rear
baataagaadeshin	get ones leg
baataajiishkweshin	be stuck in
baataamaa	tattle on smb
baataan'keshin	get ones arm
baataanjiishin	get ones hand
baataashin	be stuck
baataasin	be stuck
baataawaagneshin	be stuck in
baataawaakdin	be frozen stuck
baataawaakji	be frozen stuck
baataawaandwe	get stuck someplace
baataawe	tattle tell on
baataayiing	beyond reach out
baataazdeshin	get ones foot
baataazi	sin commit sin
baataazwin	sin
baate	dry be dry
baate-	dried
baatewaagmisek	beer
baatiin'aa	have lots of
baatiinat	be lots be
baatiini	be lots be
baatiintoon	have lots of
baazgiingwebnaa	scratch smb on
baazgiingweyaakjin	get ones face
baazgobjige	scratch to wound
baazgobnaa	scratch wounding smb
baazgod'aan	make a scratch
baazgodwaa	make a scratch
baazgogaadebnaa	scratch smb on
baazgogaadewaakjin	get ones leg
baazgojaanebnaa	scratch smb on
baazgon'kebnaa	scratch smb on
baazgonjiishin	get ones hand
baazgonjiiwaakjin	get ones hand
baazgwaad'aan	scratch sth with
baazgwaadwaa	scratch sth an
baazgwaakjidoon	snag sth and
baazgwaakjimaa	snag sth an
baazgwaakjin	get ones body
baazgwaawganebnaa	scratch smb on
baazhgwaadzi	exert oneself
baazmaa	twist smbs words
babgiwyaan	shirt
bagashk	cutweed
bagnaa	cornbread
{n}bajaagan	my penis
{n}bajaagan	my penis
bakjigan	hand planter
bakmaabgo	float downstream
baktendbe'ge	beat people on
baktewdiwak	beat each other
baktewdizo	hit oneself strike
bangii	a few a
bangiishengat	be a few
bangiishengizi	be a few
bashkbiite	be lukewarm be
bashkzhige	cut hay
